N°,Canal,Fragmento,Tema principal,Tono,Actor/Área,Momento recorrido,Observación clave
52,Instagram,"No es solo demora, es no saber quién tiene la última palabra.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
53,Foro estudiantil,"Me activaron el acceso, pero mis pagos seguían como pendientes.",Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
54,Facebook,La orientación para estudiantes nuevos fue demasiado genérica.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
55,X,Pocas cosas desgastan más que empezar un semestre sin certeza.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
56,Instagram,Lo irónico es que la parte académica comenzó mejor que la administrativa.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
57,Foro estudiantil,El instructivo está hecho como si todos ya supiéramos el proceso.,Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
58,Google Review,El problema no es el contenido ni los profesores; es la experiencia previa al aula.,Comunicación,Negativo,Docencia,Inicio,Problemas de coordinación/comunicación
59,X,"La UMP necesita un solo flujo claro, no cinco correos con pasos distintos.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
60,Facebook,"Mi hija estaba inscrita, pero el sistema decía “documentación incompleta” sin explicar cuál.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
61,X,"Hay muchos comentarios negativos, pero casi todos apuntan al inicio del viaje, no al semestre en sí.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
62,Instagram,Entrar al campus no debería sentirse como resolver un acertijo.,Matrícula/Acceso,Negativo,Campus virtual,Inicio,Problemas de coordinación/comunicación
63,Foro estudiantil,"Soporte me pidió captura, luego otra captura y luego me derivó a otra área.",Comunicación,Negativo,Soporte,Inicio,Problemas de coordinación/comunicación
64,Facebook,"Cuando por fin se resolvió, la clase estuvo normal. Todo el estrés fue antes.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
65,X,"Esto no es un tema de branding, es de proceso.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
66,Instagram,El verdadero “pain point” es la confirmación final.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
67,Foro estudiantil,"Me sale “inscripción exitosa”, pero el ramo no aparece en aula virtual.",Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
68,Google Review,La institución debería revisar la trazabilidad del proceso de matrícula.,Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
69,X,"No percibo mala fe, percibo desorden.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
70,Facebook,Los alumnos no piden perfección; piden claridad.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
71,X,"Se ve un patrón: pagos, validaciones, horarios, enlaces. Todo lo crítico llega tarde o confuso.",Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
72,Instagram,"Más que una crisis del campus, parece una crisis de coordinación interna.",Matrícula/Acceso,Negativo,Campus virtual,Inicio,Problemas de coordinación/comunicación
73,Foro estudiantil,"Si centralizaran la información en un solo estado visible, se acabarían muchas dudas.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
74,Facebook,"La reputación se les cae por trámites, no por clases.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
75,X,El semestre parte bien solo para quienes ya conocen los atajos.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
76,X,"Todo apunta a un onboarding mal diseñado, no a un campus “malo” en general.",Matrícula/Acceso,Negativo,Campus virtual,Inicio,Problemas de coordinación/comunicación
77,Facebook,"Si uno lee todas las quejas juntas, el problema parece bastante claro.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
78,Instagram,Para un estudiante nuevo esto debe ser muchísimo peor que para uno antiguo.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
79,Foro estudiantil,Lo que está roto no es una pantalla; es el recorrido completo.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
80,Google Review,"Buena formación, mala experiencia de entrada.",Comunicación,Mixto,General,Inicio,Problemas de coordinación/comunicación
